Date,Base Currency,Target Currency,Exchange Rate
2022-05-19,USD,INR,77.421346
2022-05-19,USD,IQD,1460.020622
2022-05-19,USD,IRR,42350
2022-05-19,USD,ISK,131.86
2022-05-19,USD,JEP,0.80237
2022-05-19,USD,JMD,154.970439
2022-05-19,USD,JOD,0.709
2022-05-19,USD,JPY,127.85323077
2022-05-19,USD,KES,116.46084
2022-05-19,USD,KGS,80.144649
2022-05-19,USD,KHR,4061.777797
2022-05-19,USD,KMF,467.399633
2022-05-19,USD,KPW,900
2022-05-19,USD,KRW,1263.65
2022-05-19,USD,KWD,0.306309
2022-05-19,USD,KYD,0.833761
2022-05-19,USD,KZT,429.106585
2022-05-19,USD,LAK,13267.056318
2022-05-19,USD,LBP,1516.488088
2022-05-19,USD,LKR,360.205426
2022-05-19,USD,LRD,153.000012
2022-05-19,USD,LSL,15.955297
2022-05-19,USD,LYD,4.805154
2022-05-19,USD,MAD,10.045942
2022-05-19,USD,MDL,19.013305
2022-05-19,USD,MGA,4046.501333
2022-05-19,USD,MKD,58.557706
2022-05-19,USD,MMK,1852.53583
2022-05-19,USD,MNT,3102.3504
2022-05-19,USD,MOP,8.087375
2022-05-19,USD,MRU,36.48
2022-05-19,USD,MUR,43.301951
2022-05-19,USD,MVR,15.44
2022-05-19,USD,MWK,816.242086
2022-05-19,USD,MXN,19.936002
2022-05-19,USD,MYR,4.4025
2022-05-19,USD,MZN,63.860006
2022-05-19,USD,NAD,15.93
2022-05-19,USD,NGN,415.197711
2022-05-19,USD,NIO,35.833576
2022-05-19,USD,NOK,9.69578
2022-05-19,USD,NPR,124.322975
2022-05-19,USD,NZD,1.567147
2022-05-19,USD,OMR,0.385001
2022-05-19,USD,PAB,1
2022-05-19,USD,PEN,3.768751
2022-05-19,USD,PGK,3.521762
2022-05-19,USD,PHP,52.249995
2022-05-19,USD,PKR,200.768806
2022-05-19,USD,PLN,4.393065
2022-05-19,USD,PYG,6848.010824
2022-05-19,USD,QAR,3.641
2022-05-19,USD,RON,4.677
2022-05-19,USD,RSD,111.065
2022-05-19,USD,RUB,62.124999
2022-05-19,USD,RWF,1024.782081
2022-05-19,USD,SAR,3.751264
2022-05-19,USD,SBD,8.123525
2022-05-19,USD,SCR,13.022724
2022-05-19,USD,SDG,454.5
2022-05-19,USD,SEK,9.924792
2022-05-19,USD,SGD,1.38088
2022-05-19,USD,SHP,0.80237
2022-05-19,USD,SLL,12888.9
2022-05-19,USD,SOS,579.323108
2022-05-19,USD,SRD,21.007
2022-05-19,USD,SSP,130.26
2022-05-19,USD,STD,22135.090504
2022-05-19,USD,STN,23.35
2022-05-19,USD,SVC,8.754907
2022-05-19,USD,SYP,2512.53
2022-05-19,USD,SZL,15.963273
2022-05-19,USD,THB,34.430004
2022-05-19,USD,TJS,12.512426
2022-05-19,USD,TMT,3.51
2022-05-19,USD,TND,3.057
2022-05-19,USD,TOP,2.334683
2022-05-19,USD,TRY,15.9153
2022-05-19,USD,TTD,6.793161
2022-05-19,USD,TWD,29.6145
2022-05-19,USD,TZS,2326
2022-05-19,USD,UAH,29.56121
2022-05-19,USD,UGX,3650.131432
2022-05-19,USD,USD,1
2022-05-19,USD,UYU,40.500205
2022-05-19,USD,UZS,11116.314941
2022-05-19,USD,VES,4.82575
2022-05-19,USD,VND,23148.15311
2022-05-19,USD,VUV,115.709832
2022-05-19,USD,WST,2.635467
2022-05-19,USD,XAF,620.025185
2022-05-19,USD,XAG,0.04565168
2022-05-19,USD,XAU,0.00054284
2022-05-19,USD,XCD,2.70255
2022-05-19,USD,XDR,0.729313
2022-05-19,USD,XOF,620.025185
2022-05-19,USD,XPD,0.00049592
2022-05-19,USD,XPF,112.795024
2022-05-19,USD,XPT,0.00103814
2022-05-19,USD,YER,250.249937
2022-05-19,USD,ZAR,15.848498
2022-05-19,USD,ZMW,17.035098
2022-05-19,USD,ZWL,322
2022-05-20,USD,AED,3.673
2022-05-20,USD,AFN,90.5
2022-05-20,USD,ALL,113.6
2022-05-20,USD,AMD,461.287893
2022-05-20,USD,ANG,1.80384
2022-05-20,USD,AOA,415.3971
2022-05-20,USD,ARS,118.443548
2022-05-20,USD,AUD,1.4211
2022-05-20,USD,AWG,1.8005
2022-05-20,USD,AZN,1.7
2022-05-20,USD,BAM,1.848602
2022-05-20,USD,BBD,2
2022-05-20,USD,BDT,87.546092
2022-05-20,USD,BGN,1.852945
2022-05-20,USD,BHD,0.376996
2022-05-20,USD,BIF,2012.5
2022-05-20,USD,BMD,1
2022-05-20,USD,BND,1.379157
2022-05-20,USD,BOB,6.890965
2022-05-20,USD,BRL,4.8817
2022-05-20,USD,BSD,1
2022-05-20,USD,BTC,3.4224783e-05
2022-05-20,USD,BTN,77.620729
2022-05-20,USD,BWP,12.11713
2022-05-20,USD,BYN,3.377394
2022-05-20,USD,BZD,2.017458
2022-05-20,USD,CAD,1.28396
2022-05-20,USD,CDF,2005
2022-05-20,USD,CHF,0.974942
2022-05-20,USD,CLF,0.030316
2022-05-20,USD,CLP,836.5
2022-05-20,USD,CNH,6.705525
2022-05-20,USD,CNY,6.693
2022-05-20,USD,COP,4063.611234
2022-05-20,USD,CRC,671.817147
2022-05-20,USD,CUC,1
2022-05-20,USD,CUP,25.75
2022-05-20,USD,CVE,104.65
2022-05-20,USD,CZK,23.3184
2022-05-20,USD,DJF,178
2022-05-20,USD,DKK,7.042025
2022-05-20,USD,DOP,55.3
2022-05-20,USD,DZD,145.697878
2022-05-20,USD,EGP,18.273281
2022-05-20,USD,ERN,15.000001
2022-05-20,USD,ETB,51.51
2022-05-20,USD,EUR,0.946459
2022-05-20,USD,FJD,2.18535
2022-05-20,USD,FKP,0.800494
2022-05-20,USD,GBP,0.800494
2022-05-20,USD,GEL,2.905
2022-05-20,USD,GGP,0.800494
2022-05-20,USD,GHS,7.775
2022-05-20,USD,GIP,0.800494
2022-05-20,USD,GMD,54.15
2022-05-20,USD,GNF,8839.5
2022-05-20,USD,GTQ,7.679359
2022-05-20,USD,GYD,209.392564
2022-05-20,USD,HKD,7.84755
2022-05-20,USD,HNL,24.47
2022-05-20,USD,HRK,7.1333
2022-05-20,USD,HTG,112.094104
2022-05-20,USD,HUF,363.998401
2022-05-20,USD,IDR,14672.443952
2022-05-20,USD,ILS,3.36089
2022-05-20,USD,IMP,0.800494
2022-05-20,USD,INR,77.8186
2022-05-20,USD,IQD,1460
2022-05-20,USD,IRR,42300
2022-05-20,USD,ISK,131.31
2022-05-20,USD,JEP,0.800494
2022-05-20,USD,JMD,154.694158
2022-05-20,USD,JOD,0.709
2022-05-20,USD,JPY,127.86497636
2022-05-20,USD,KES,116.5
2022-05-20,USD,KGS,80.01085
2022-05-20,USD,KHR,4060
2022-05-20,USD,KMF,466.949879
2022-05-20,USD,KPW,900
2022-05-20,USD,KRW,1273.745
2022-05-20,USD,KWD,0.30617
2022-05-20,USD,KYD,0.834054
2022-05-20,USD,KZT,429.106585
2022-05-20,USD,LAK,13275
2022-05-20,USD,LBP,1515.209948
2022-05-20,USD,LKR,355.30028
2022-05-20,USD,LRD,152.49996
2022-05-20,USD,LSL,15.92
2022-05-20,USD,LYD,4.815
2022-05-20,USD,MAD,10.0285
2022-05-20,USD,MDL,19.013305
2022-05-20,USD,MGA,3995
2022-05-20,USD,MKD,58.237791
2022-05-20,USD,MMK,1853.10368
2022-05-20,USD,MNT,3102.3504
2022-05-20,USD,MOP,8.089493
2022-05-20,USD,MRU,36.46
2022-05-20,USD,MUR,43.099938
2022-05-20,USD,MVR,15.425
2022-05-20,USD,MWK,817.667466
2022-05-20,USD,MXN,19.850335
2022-05-20,USD,MYR,4.389
2022-05-20,USD,MZN,63.850001
2022-05-20,USD,NAD,15.92
2022-05-20,USD,NGN,415.12
2022-05-20,USD,NIO,35.77
2022-05-20,USD,NOK,9.74331
2022-05-20,USD,NPR,124.193124
2022-05-20,USD,NZD,1.560847
2022-05-20,USD,OMR,0.384859
2022-05-20,USD,PAB,1
2022-05-20,USD,PEN,3.7225
2022-05-20,USD,PGK,3.5275
2022-05-20,USD,PHP,52.242505
2022-05-20,USD,PKR,200.45
2022-05-20,USD,PLN,4.38295
2022-05-20,USD,PYG,6845.414151
2022-05-20,USD,QAR,3.641
2022-05-20,USD,RON,4.6846
2022-05-20,USD,RSD,111.219048
2022-05-20,USD,RUB,62.000005
2022-05-20,USD,RWF,1021.5
2022-05-20,USD,SAR,3.751601
2022-05-20,USD,SBD,8.123563
2022-05-20,USD,SCR,12.898889
2022-05-20,USD,SDG,454.5
2022-05-20,USD,SEK,9.94128
2022-05-20,USD,SGD,1.37951
2022-05-20,USD,SHP,0.800494
2022-05-20,USD,SLL,12888.9
2022-05-20,USD,SOS,583.5
2022-05-20,USD,SRD,21.009
2022-05-20,USD,SSP,130.26
2022-05-20,USD,STD,22135.090504
2022-05-20,USD,STN,23.41
2022-05-20,USD,SVC,8.757379
2022-05-20,USD,SYP,2512.53
2022-05-20,USD,SZL,15.92
2022-05-20,USD,THB,34.439704
2022-05-20,USD,TJS,12.51562
2022-05-20,USD,TMT,3.5
2022-05-20,USD,TND,3.0615
2022-05-20,USD,TOP,2.322219
2022-05-20,USD,TRY,15.9038
2022-05-20,USD,TTD,6.795121
2022-05-20,USD,TWD,29.729
2022-05-20,USD,TZS,2326
2022-05-20,USD,UAH,29.568291
2022-05-20,USD,UGX,3648.058347
2022-05-20,USD,USD,1
2022-05-20,USD,UYU,40.345155
2022-05-20,USD,UZS,11092.5
2022-05-20,USD,VES,4.82575
2022-05-20,USD,VND,23155
2022-05-20,USD,VUV,115.709832
2022-05-20,USD,WST,2.635467
2022-05-20,USD,XAF,620.836292
2022-05-20,USD,XAG,0.0459771
2022-05-20,USD,XAU,0.00054156
2022-05-20,USD,XCD,2.70255
2022-05-20,USD,XDR,0.729566
2022-05-20,USD,XOF,620.836292
2022-05-20,USD,XPD,0.00050798
2022-05-20,USD,XPF,112.942581
2022-05-20,USD,XPT,0.00104421
2022-05-20,USD,YER,250.225002
2022-05-20,USD,ZAR,15.8382
2022-05-20,USD,ZMW,17.049405
2022-05-20,USD,ZWL,322
2022-05-21,USD,AED,3.673
2022-05-21,USD,AFN,90.5
2022-05-21,USD,ALL,113.6
2022-05-21,USD,AMD,461.287893
2022-05-21,USD,ANG,1.80384
2022-05-21,USD,AOA,415.3971
2022-05-21,USD,ARS,118.443548
2022-05-21,USD,AUD,1.4211
2022-05-21,USD,AWG,1.8005
2022-05-21,USD,AZN,1.7
2022-05-21,USD,BAM,1.848602
2022-05-21,USD,BBD,2
2022-05-21,USD,BDT,87.546092
2022-05-21,USD,BGN,1.852945
2022-05-21,USD,BHD,0.376996
2022-05-21,USD,BIF,2012.5
2022-05-21,USD,BMD,1
2022-05-21,USD,BND,1.379157
2022-05-21,USD,BOB,6.890965
2022-05-21,USD,BRL,4.8817
2022-05-21,USD,BSD,1
2022-05-21,USD,BTC,3.3959352e-05
2022-05-21,USD,BTN,77.620729
2022-05-21,USD,BWP,12.11713
2022-05-21,USD,BYN,3.377394
2022-05-21,USD,BZD,2.017458
2022-05-21,USD,CAD,1.28396
2022-05-21,USD,CDF,2005
2022-05-21,USD,CHF,0.974942
2022-05-21,USD,CLF,0.030316
2022-05-21,USD,CLP,836.5
2022-05-21,USD,CNH,6.705525
2022-05-21,USD,CNY,6.693
2022-05-21,USD,COP,4063.611234
2022-05-21,USD,CRC,671.817147
2022-05-21,USD,CUC,1
2022-05-21,USD,CUP,25.75
2022-05-21,USD,CVE,104.65
2022-05-21,USD,CZK,23.3184
2022-05-21,USD,DJF,178
2022-05-21,USD,DKK,7.042025
2022-05-21,USD,DOP,55.3
2022-05-21,USD,DZD,145.697878
2022-05-21,USD,EGP,18.273281
2022-05-21,USD,ERN,15.000001
2022-05-21,USD,ETB,51.51
2022-05-21,USD,EUR,0.946459
2022-05-21,USD,FJD,2.18535
2022-05-21,USD,FKP,0.800737
2022-05-21,USD,GBP,0.800737
2022-05-21,USD,GEL,2.905
2022-05-21,USD,GGP,0.800737
2022-05-21,USD,GHS,7.775
2022-05-21,USD,GIP,0.800737
2022-05-21,USD,GMD,54.15
2022-05-21,USD,GNF,8839.5
2022-05-21,USD,GTQ,7.679359
2022-05-21,USD,GYD,209.392564
2022-05-21,USD,HKD,7.84755
2022-05-21,USD,HNL,24.47
2022-05-21,USD,HRK,7.1333
2022-05-21,USD,HTG,112.094104
2022-05-21,USD,HUF,363.998401
2022-05-21,USD,IDR,14672.443952
2022-05-21,USD,ILS,3.36089
2022-05-21,USD,IMP,0.800737
2022-05-21,USD,INR,77.8186
2022-05-21,USD,IQD,1460
2022-05-21,USD,IRR,42300
2022-05-21,USD,ISK,131.31
2022-05-21,USD,JEP,0.800737
2022-05-21,USD,JMD,154.694158
2022-05-21,USD,JOD,0.709
2022-05-21,USD,JPY,127.86497636
2022-05-21,USD,KES,116.5
2022-05-21,USD,KGS,79.940702
2022-05-21,USD,KHR,4060
2022-05-21,USD,KMF,466.949879
2022-05-21,USD,KPW,900
2022-05-21,USD,KRW,1273.745
2022-05-21,USD,KWD,0.30617
2022-05-21,USD,KYD,0.834054
2022-05-21,USD,KZT,429.106585
2022-05-21,USD,LAK,13275
2022-05-21,USD,LBP,1515.209948
2022-05-21,USD,LKR,355.30028
2022-05-21,USD,LRD,152.49996
2022-05-21,USD,LSL,15.92
2022-05-21,USD,LYD,4.815
2022-05-21,USD,MAD,10.0285
2022-05-21,USD,MDL,19.013305
2022-05-21,USD,MGA,3995
2022-05-21,USD,MKD,58.237791
2022-05-21,USD,MMK,1853.10368
2022-05-21,USD,MNT,3102.3504
2022-05-21,USD,MOP,8.089493
2022-05-21,USD,MRU,36.46
2022-05-21,USD,MUR,43.099938
2022-05-21,USD,MVR,15.425
2022-05-21,USD,MWK,817.667466
2022-05-21,USD,MXN,19.850335
2022-05-21,USD,MYR,4.389
2022-05-21,USD,MZN,63.850001
2022-05-21,USD,NAD,15.92
2022-05-21,USD,NGN,415.12
2022-05-21,USD,NIO,35.77
2022-05-21,USD,NOK,9.74331
2022-05-21,USD,NPR,124.193124
2022-05-21,USD,NZD,1.560847
2022-05-21,USD,OMR,0.384859
2022-05-21,USD,PAB,1
2022-05-21,USD,PEN,3.7225
2022-05-21,USD,PGK,3.5275
2022-05-21,USD,PHP,52.242505
2022-05-21,USD,PKR,200.45
2022-05-21,USD,PLN,4.38295
2022-05-21,USD,PYG,6845.414151
2022-05-21,USD,QAR,3.641
2022-05-21,USD,RON,4.6846
2022-05-21,USD,RSD,111.219048
2022-05-21,USD,RUB,62.000005
2022-05-21,USD,RWF,1021.5
2022-05-21,USD,SAR,3.751601
2022-05-21,USD,SBD,8.123563
2022-05-21,USD,SCR,12.898889
2022-05-21,USD,SDG,449.414235
2022-05-21,USD,SEK,9.94128
2022-05-21,USD,SGD,1.37951
2022-05-21,USD,SHP,0.800737
2022-05-21,USD,SLL,12888.9
2022-05-21,USD,SOS,583.5
2022-05-21,USD,SRD,21.009
2022-05-21,USD,SSP,130.26
2022-05-21,USD,STD,22135.090504
2022-05-21,USD,STN,23.41
2022-05-21,USD,SVC,8.757379
2022-05-21,USD,SYP,2512.53
2022-05-21,USD,SZL,15.92
2022-05-21,USD,THB,34.367813
2022-05-21,USD,TJS,12.51562
2022-05-21,USD,TMT,3.5
2022-05-21,USD,TND,3.0615
2022-05-21,USD,TOP,2.322219
2022-05-21,USD,TRY,15.9038
2022-05-21,USD,TTD,6.795121
2022-05-21,USD,TWD,29.729
2022-05-21,USD,TZS,2326
2022-05-21,USD,UAH,29.568291
2022-05-21,USD,UGX,3648.058347
2022-05-21,USD,USD,1
2022-05-21,USD,UYU,40.345155
2022-05-21,USD,UZS,11092.5
2022-05-21,USD,VES,4.82575
2022-05-21,USD,VND,23155
2022-05-21,USD,VUV,115.709832
2022-05-21,USD,WST,2.635467
2022-05-21,USD,XAF,620.836292
2022-05-21,USD,XAG,0.0459771
2022-05-21,USD,XAU,0.00054156
2022-05-21,USD,XCD,2.70255
2022-05-21,USD,XDR,0.729248
2022-05-21,USD,XOF,620.836292
2022-05-21,USD,XPD,0.00050798
2022-05-21,USD,XPF,112.942581
2022-05-21,USD,XPT,0.00104421
2022-05-21,USD,YER,250.225002
2022-05-21,USD,ZAR,15.8382
2022-05-21,USD,ZMW,17.049405
2022-05-21,USD,ZWL,322
2022-05-22,USD,AED,3.67301
2022-05-22,USD,AFN,90.385851
2022-05-22,USD,ALL,113.475592
2022-05-22,USD,AMD,461.287893
2022-05-22,USD,ANG,1.80384
2022-05-22,USD,AOA,415.3971
2022-05-22,USD,ARS,118.402101
2022-05-22,USD,AUD,1.416108
2022-05-22,USD,AWG,1.8005
2022-05-22,USD,AZN,1.7
2022-05-22,USD,BAM,1.848602
2022-05-22,USD,BBD,2
2022-05-22,USD,BDT,87.546092
2022-05-22,USD,BGN,1.851743
2022-05-22,USD,BHD,0.376996
2022-05-22,USD,BIF,2039.127812
2022-05-22,USD,BMD,1
2022-05-22,USD,BND,1.379157
2022-05-22,USD,BOB,6.890965
2022-05-22,USD,BRL,4.8797
2022-05-22,USD,BSD,1
2022-05-22,USD,BTC,3.2951675e-05
2022-05-22,USD,BTN,77.620729
2022-05-22,USD,BWP,12.11713
2022-05-22,USD,BYN,3.377394
2022-05-22,USD,BZD,2.017458
2022-05-22,USD,CAD,1.281556
2022-05-22,USD,CDF,2003.420195
2022-05-22,USD,CHF,0.975025
2022-05-22,USD,CLF,0.030316
2022-05-22,USD,CLP,836.5
2022-05-22,USD,CNH,6.69947
2022-05-22,USD,CNY,6.693
2022-05-22,USD,COP,4062.206006
2022-05-22,USD,CRC,671.817147
2022-05-22,USD,CUC,1
2022-05-22,USD,CUP,25.75
2022-05-22,USD,CVE,104.65
2022-05-22,USD,CZK,23.308401
2022-05-22,USD,DJF,178.141287
2022-05-22,USD,DKK,7.04032
2022-05-22,USD,DOP,55.280078
2022-05-22,USD,DZD,145.708102
2022-05-22,USD,EGP,18.2669
2022-05-22,USD,ERN,15.000001
2022-05-22,USD,ETB,51.777247
2022-05-22,USD,EUR,0.946029
2022-05-22,USD,FJD,2.18907
2022-05-22,USD,FKP,0.799779
2022-05-22,USD,GBP,0.799779
2022-05-22,USD,GEL,2.905
2022-05-22,USD,GGP,0.799779
2022-05-22,USD,GHS,7.778907
2022-05-22,USD,GIP,0.799779
2022-05-22,USD,GMD,54.15
2022-05-22,USD,GNF,8843.932807
2022-05-22,USD,GTQ,7.679359
2022-05-22,USD,GYD,209.392564
2022-05-22,USD,HKD,7.848141
2022-05-22,USD,HNL,24.493179
2022-05-22,USD,HRK,7.126939
2022-05-22,USD,HTG,112.094104
2022-05-22,USD,HUF,363.176812
2022-05-22,USD,IDR,14652.008741
2022-05-22,USD,ILS,3.359851
2022-05-22,USD,IMP,0.799779
2022-05-22,USD,INR,77.81865
2022-05-22,USD,IQD,1460.472262
2022-05-22,USD,IRR,42300
2022-05-22,USD,ISK,131.24
2022-05-22,USD,JEP,0.799779
2022-05-22,USD,JMD,154.694158
2022-05-22,USD,JOD,0.709
2022-05-22,USD,JPY,127.8945
2022-05-22,USD,KES,116.45
2022-05-22,USD,KGS,79.940702
2022-05-22,USD,KHR,4062.705971
2022-05-22,USD,KMF,466.949879
2022-05-22,USD,KPW,900
2022-05-22,USD,KRW,1274.210393
2022-05-22,USD,KWD,0.30624
2022-05-22,USD,KYD,0.834054
2022-05-22,USD,KZT,426.110011
2022-05-22,USD,LAK,13271.596823
2022-05-22,USD,LBP,1515.567959
2022-05-22,USD,LKR,355.30028
2022-05-22,USD,LRD,152.49996
2022-05-22,USD,LSL,15.884065
2022-05-22,USD,LYD,4.814096
2022-05-22,USD,MAD,10.023678
2022-05-22,USD,MDL,19.104909
2022-05-22,USD,MGA,4025.559598
2022-05-22,USD,MKD,58.237791
2022-05-22,USD,MMK,1853.10368
2022-05-22,USD,MNT,3102.3504
2022-05-22,USD,MOP,8.089493
2022-05-22,USD,MRU,36.48038
2022-05-22,USD,MUR,43.099998
2022-05-22,USD,MVR,15.425
2022-05-22,USD,MWK,837.200774
2022-05-22,USD,MXN,19.852496
2022-05-22,USD,MYR,4.389
2022-05-22,USD,MZN,63.850001
2022-05-22,USD,NAD,15.92
2022-05-22,USD,NGN,415.12
2022-05-22,USD,NIO,35.827616
2022-05-22,USD,NOK,9.7282
2022-05-22,USD,NPR,124.193124
2022-05-22,USD,NZD,1.557593
2022-05-22,USD,OMR,0.384887
2022-05-22,USD,PAB,1
2022-05-22,USD,PEN,3.731929
2022-05-22,USD,PGK,3.527006
2022-05-22,USD,PHP,52.258002
2022-05-22,USD,PKR,200.959914
2022-05-22,USD,PLN,4.380251
2022-05-22,USD,PYG,6845.414151
2022-05-22,USD,QAR,3.643996
2022-05-22,USD,RON,4.6873
2022-05-22,USD,RSD,111.221643
2022-05-22,USD,RUB,62.49999
2022-05-22,USD,RWF,1025.39536
2022-05-22,USD,SAR,3.751
2022-05-22,USD,SBD,8.123563
2022-05-22,USD,SCR,12.945511
2022-05-22,USD,SDG,449.414235
2022-05-22,USD,SEK,9.935476
2022-05-22,USD,SGD,1.379062
2022-05-22,USD,SHP,0.799779
2022-05-22,USD,SLL,12888.9
2022-05-22,USD,SOS,580.822056
2022-05-22,USD,SRD,21.009
2022-05-22,USD,SSP,130.26
2022-05-22,USD,STD,22135.090504
2022-05-22,USD,STN,23.41
2022-05-22,USD,SVC,8.757379
2022-05-22,USD,SYP,2512.53
2022-05-22,USD,SZL,15.876878
2022-05-22,USD,THB,34.355782
2022-05-22,USD,TJS,12.51562
2022-05-22,USD,TMT,3.5
2022-05-22,USD,TND,3.0615
2022-05-22,USD,TOP,2.322219
2022-05-22,USD,TRY,15.934494
2022-05-22,USD,TTD,6.795121
2022-05-22,USD,TWD,29.728
2022-05-22,USD,TZS,2326
2022-05-22,USD,UAH,29.568291
2022-05-22,USD,UGX,3648.058347
2022-05-22,USD,USD,1
2022-05-22,USD,UYU,40.456448
2022-05-22,USD,UZS,11099.662856
2022-05-22,USD,VES,4.82575
2022-05-22,USD,VND,23169.606458
2022-05-22,USD,VUV,115.709832
2022-05-22,USD,WST,2.635467
2022-05-22,USD,XAF,620.554386
2022-05-22,USD,XAG,0.04587135
2022-05-22,USD,XAU,0.00054168
2022-05-22,USD,XCD,2.70255
2022-05-22,USD,XDR,0.729248
2022-05-22,USD,XOF,620.554386
2022-05-22,USD,XPD,0.00050532
2022-05-22,USD,XPF,112.891296
2022-05-22,USD,XPT,0.00103951
2022-05-22,USD,YER,250.250057
2022-05-22,USD,ZAR,15.86726
2022-05-22,USD,ZMW,17.049405
2022-05-22,USD,ZWL,322
2022-05-23,USD,AED,3.6731
2022-05-23,USD,AFN,90.571092
2022-05-23,USD,ALL,112.87013
2022-05-23,USD,AMD,455.742302
2022-05-23,USD,ANG,1.802427
2022-05-23,USD,AOA,416.329
2022-05-23,USD,ARS,118.886627
2022-05-23,USD,AUD,1.4112
2022-05-23,USD,AWG,1.8
2022-05-23,USD,AZN,1.7
2022-05-23,USD,BAM,1.832151
2022-05-23,USD,BBD,2
2022-05-23,USD,BDT,87.957806
2022-05-23,USD,BGN,1.8295
2022-05-23,USD,BHD,0.377053
2022-05-23,USD,BIF,2038.023669
2022-05-23,USD,BMD,1
2022-05-23,USD,BND,1.373196
2022-05-23,USD,BOB,6.875817
2022-05-23,USD,BRL,4.815
2022-05-23,USD,BSD,1
2022-05-23,USD,BTC,3.4350746e-05
2022-05-23,USD,BTN,77.538004
2022-05-23,USD,BWP,12.049611
2022-05-23,USD,BYN,3.375909
2022-05-23,USD,BZD,2.015906
2022-05-23,USD,CAD,1.27878
2022-05-23,USD,CDF,2002.656917
2022-05-23,USD,CHF,0.965834
2022-05-23,USD,CLF,0.030097
2022-05-23,USD,CLP,829.736667
2022-05-23,USD,CNH,6.661923
2022-05-23,USD,CNY,6.6508
2022-05-23,USD,COP,3969.593084
2022-05-23,USD,CRC,671.300427
2022-05-23,USD,CUC,1
2022-05-23,USD,CUP,25.75
2022-05-23,USD,CVE,103.52
2022-05-23,USD,CZK,23.066799
2022-05-23,USD,DJF,178.038867
2022-05-23,USD,DKK,6.963255
2022-05-23,USD,DOP,55.209398
2022-05-23,USD,DZD,145.271403
2022-05-23,USD,EGP,18.405
2022-05-23,USD,ERN,15.000001
2022-05-23,USD,ETB,51.756595
2022-05-23,USD,EUR,0.935971
2022-05-23,USD,FJD,2.1735
2022-05-23,USD,FKP,0.795738
2022-05-23,USD,GBP,0.795738
2022-05-23,USD,GEL,2.885
2022-05-23,USD,GGP,0.795738
2022-05-23,USD,GHS,7.775411
2022-05-23,USD,GIP,0.795738
2022-05-23,USD,GMD,54.2
2022-05-23,USD,GNF,8838.138141
2022-05-23,USD,GTQ,7.673745
2022-05-23,USD,GYD,209.237438
2022-05-23,USD,HKD,7.84955
2022-05-23,USD,HNL,24.49045
2022-05-23,USD,HRK,7.0459
2022-05-23,USD,HTG,112.011666
2022-05-23,USD,HUF,357.691961
2022-05-23,USD,IDR,14634
2022-05-23,USD,ILS,3.341035
2022-05-23,USD,IMP,0.795738
2022-05-23,USD,INR,77.527046
2022-05-23,USD,IQD,1459.783494
2022-05-23,USD,IRR,42325
2022-05-23,USD,ISK,130.39
